Samples,Caffeine,CuSO4,DTT,EtOH10,EtOH9,EtOH8,Malt_Ext,Fructose,G418,Galactose,Glicerol,Glucose,H2O2,KCl,Lactose,Methanol,Maltodextrine,Maltose,NaCl,p-coumeric acid,Rafinose,Sacarose,SDS,Sorbitol
CL444.2,0.182790211,0.298214654,0.308382444,0.308382444,0.266069153,0.266284994,0.113889788,0.295733251,0.279571926,0.232513122,0.246359325,0.320464173,0.287021642,0.308877264,0.142334495,0.281723707,0.160192631,0.041256158,0.31894493,0.279571926,0.270017174,0.319649183,0.308558564,0.21209828
CL446.2,0.189416616,0.275870955,0.262615741,0.262615741,0.245511668,0.26009146,0.087484797,0.299238531,0.273404735,0.219091995,0.206225004,0.318366849,0.293243068,0.349967314,0.121180964,0.259683091,0.120926009,0.083563428,0.347262003,0.273404735,0.262236453,0.311937415,0.296490558,0.212439533
CL447.3,0.190863471,0.26911437,0.241152852,0.241152852,0.22420533,0.247505182,0.072411981,0.281753783,0.257154216,0.203602578,0.212849472,0.297697481,0.268824477,0.239902998,0.105445795,0.241237883,0.134324383,0.047905048,0.327140069,0.257154216,0.236451348,0.288893337,0.274047112,0.206643884
CL448.1,0.201716412,0.29898834,0.213767199,0.213767199,0.205011901,0.240261117,0.06569757,0.309162017,0.255858568,0.217878234,0.221158018,0.30531314,0.280666345,0.355659772,0.090443223,0.239593844,0.14745671,0.063104716,0.28193012,0.255858568,0.220606344,0.322912204,0.273955206,0.20802427
CL449.1,0.189284238,0.287153963,0.216918468,0.216918468,0.221169382,0.251682816,0.070751924,0.273285513,0.267482381,0.223756517,0.226970698,0.299177554,0.282784258,0.239853491,0.097916667,0.255830208,0.11524667,0.058582621,0.320024259,0.267482381,0.209792366,0.297849181,0.289081225,0.213541564
CL450.1,0.173561857,0.265409315,0.214507548,0.214507548,0.216624341,0.23846632,0.069161159,0.270763443,0.257344926,0.203087622,0.220429993,0.29567256,0.279274494,0.249357059,0.11855439,0.245235239,0.123467265,0.068058968,0.257581244,0.257344926,0.224429566,0.287953903,0.280579395,0.183788896
CL451.4,0.185265118,0.299291648,0.24213611,0.24213611,0.239688181,0.255045472,0.066302038,0.298056576,0.28192343,0.243458764,0.235075472,0.31259888,0.297821662,0.276302488,0.127278949,0.274555728,0.116183261,0.048447168,0.282907765,0.28192343,0.258148603,0.309046512,0.293369823,0.201137102
CL467.2,0.186401739,0.28056663,0.252644762,0.252644762,0.261299787,0.272412988,0.078504173,0.299469518,0.282128968,0.2343224,0.256845687,0.319256416,0.297064934,0.285970575,0.126213304,0.26409181,0.138632478,0.055988456,0.297581874,0.282128968,0.2601065,0.322758742,0.297312344,0.19720534
CL471.2,0.174697047,0.282700122,0.291158274,0.291158274,0.265498885,0.263771662,0.112836373,0.282855175,0.26868857,0.216045619,0.225551684,0.314224865,0.278472224,0.293438047,0.135923141,0.26918123,0.139293139,0.03885017,0.307144154,0.26868857,0.259132018,0.308398882,0.294934661,0.197018894
CL801.1,0.183518948,0.282778448,0.290712334,0.290712334,0.250433065,0.260041291,0.093181658,0.278324305,0.257802182,0.201164892,0.230524513,0.29963788,0.271980988,0.271918129,0.116638264,0.228336274,0.208603145,0.064838167,0.291298883,0.257802182,0.256869419,0.303878175,0.290402923,0.194740002
CL803.1,0.199263169,0.298809011,0.265381421,0.265381421,0.247970671,0.255279834,0.075739511,0.284569005,0.275999273,0.239408778,0.232304651,0.313043594,0.282173672,0.27499539,0.122658138,0.222611773,0.10757321,0.036632992,0.293814427,0.275999273,0.249784329,0.303861373,0.306547387,0.210458133
CL804.1,0.197650479,0.298060847,0.252859825,0.252859825,0.238795598,0.248850788,0.06992896,0.283675366,0.276109234,0.240752877,0.223054807,0.312171644,0.285580297,0.267998316,0.119330169,0.232056536,0.114780908,0.091325996,0.280938374,0.276109234,0.253534643,0.299188655,0.309816414,0.205802969
CL807.1,0.187335376,0.271962667,0.225212158,0.225212158,0.228522066,0.241899525,0.078301442,0.286352368,0.254799334,0.216021541,0.243125701,0.292061864,0.27441333,0.223241058,0.110763151,0.222108438,0.129720478,0.029605263,0.264205887,0.254799334,0.235965985,0.311172902,0.269242884,0.209054944
CL810.1,0.194024172,0.298454759,0.231173682,0.231173682,0.245569113,0.250776409,0.068397852,0.295922915,0.278457756,0.23668001,0.240794327,0.30446844,0.282511311,0.270581723,0.104323073,0.236421059,0.104506877,0.057662658,0.28148415,0.278457756,0.253520616,0.307382574,0.29943661,0.204341737
CL812.1,0.194354749,0.288022156,0.242826618,0.242826618,0.242549852,0.24867018,0.077295978,0.28960414,0.277131049,0.235842849,0.239386577,0.301619317,0.288568087,0.268460291,0.13669128,0.255137258,0.132119211,0.041974237,0.267375133,0.277131049,0.256582472,0.307148422,0.307405198,0.19826263
